itemNo,partNo,kanban,partName,dock,supplier,address
1,48820-0K010-00,A461,LINK ASSY FR STABILIZER,P1,SSMC-A-B1,FA-R06
2,48820-0K030-00,A462,LINK ASSY FR STABILIZER RH,P1,SSMC-A-B1,FA.L-1
3,52113-YP040-00,T604,EXTENSION FR BUMPER LH,P1,STT1-A-A1,RSB-04
4,52133-YP030-00,T609,EXTENSION FR BUMPER NO.2 RH,P1,STT1-A-A1,RSB-04
5,53901-0K020-00,B336,PANEL SUB-ASSY FR VALANCE,P1,STT1-A-A1,RSB-03
6,74631-0K040-C0,U758,HOOK COAT,P1,TBAS-B-MX,T2.R-1
7,74210-0K100-C4,D027,ARMREST ASSY FR DOOR RH,P1,TBAS-K-H1,SE.L-10
8,58804-KK480-C3,D074,PANEL SUB-ASSY CONSOLE UPR,P1,TGT1-C-H2,SE.R-2
9,16593-0L040-00,D786,GUIDE RADIATOR AIR NO.1,P1,TGT1-D-C1,F3-L04
10,62791-0K010-00,F083,MOULDING QUARTER WINDOW UPR RH,P1,TGT1-D-C1,F2-L01
11,62792-0K010-00,F084,MOULDING QUARTER WINDOW UPR LH,P1,TGT1-D-C1,F2-L01
12,45024-0K010-C0,Z786,COVER SUB-ASSY STEERING COLUMN LWR,P1,TGT1-D-D1,F1-L04
13,55084-KK030-00,D560,DUCT SUB-ASSY HEATER TO REGISTER NO.1,P1,TGT1-D-F1,SA.R-23
14,55420-KK310-00,Z846,PANEL ASSY INSTR CLUSTER FINISH CTR,P1,TGT1-D-F1,SA.R-12
15,55420-KK460-00,Z851,PANEL ASSY INSTR CLUSTER FINISH CTR,P1,TGT1-D-F1,SA.R-11
16,53147-YP010-00,Z710,GARNISH HEADLAMP ORNAMENT RH,P1,TGT1-D-H2,SE.L-15
17,53148-0K020-00,Z818,GARNISH HEADLAMP ORNAMENT LH,P1,TGT1-D-H2,SE.L-16
18,55470-YP050-00,Z857,GARNISH ASSY INSTR CLUSTER FINISH PANEL,P1,TGT1-D-J2,SG.R-14
19,55470-YP060-00,Z858,GARNISH ASSY INSTR CLUSTER FINISH PANEL,P1,TGT1-D-J2,SG.R-13
20,81150-0KL50-00,Z935,HEADLAMP ASSY LH,P1,TKC1-B-I1,SI.R-3
